Title,Description,Primary Category,Secondary Category,Price,Discount,Bullet point 1,Bullet point 2,Bullet point 3
Uncovering the Cover: The Medieval Aeroballistics Origins of Futons,A non-analytic analysis of the uncharted historical accounts of the evolution of night-watch castle fortifications and the intersecting effect of restfulness on long term strategic empire expansion decision making within the Byzantine Empire.,Books,Iconoclasm,159.99,0.9,Exploring the psycholinguistics of sheep-counting,Exploring the effects of sleep-aids during the Arab–Byzantine wars,Relating the balistics of bags of feathers in pre-Newtonian engineering calculations
15 million shades of #808080,"An erotic memoir of a web designer, during the heady days of the 1990's",Books,Memoir,29.99,0.5,Learn the art of eroticism and web palettes,Webscraping,RGB(A)
"Eton Mess: Magic, School and Desserts",Delve deep into the world of an exclusive public cooking school where the teachers all have magic powers,Books,Fantasy,29.99,0.2,Teenage relationships,Constantly regenerative class divides,Cakes and (Witch) Craft
Memoirs of a Ghost writer,The memoirists' memoirist gives an insight into the life of writing down other peoples hilarious anecdotes and wisdom,Books,Memoir,55.29,0.9,A veritable best of stories from one of the best in the business,Insight gained over a series of short interviews with sports people and celebrities,** does not feature any supernatural stories
Plane snack bag,"Tired of buying over priced snacks on budget airlines? This portable, transparent bags can be filled with all your favourite treats",Lifestyle,Travel,35.99,0.4,Take aboard any commercial flight,"Safe up to 40,000 feet",Reuse up to 13 times (machine washable)
How to write professional guide books,"Ever wanted to know how to explain things to people? This book is a clear and concise how to, to how to",Books,Guides,12.99,0.5,Step by step guide with illustrations,Recycled anecdotes,"""I would never have know how to, without this indispensable guide"" - @UpholsteryHowto"
Movie ticket stubs,Over 100 movie ticket stubs from some of the greatest movies of the last century.  Relive the memories of classic cinema trips with these 100% original movie stubs.,Lifestyle,Home,100.99,0.2,"100% official, 0% ripped","Movies include - Jurassic Park, Toy Story and the Harry Potter franchise",A must for any cinema fan
D&P designed Anti-homeless garden set,Bring hostile architecture to the home. Tired of people using your furniture? The patented design features retracting spike to ensure it is unusable without the code,Lifestyle,Hostile,999.9,0.1,Remote activated or timer settings,Stainless steel spikes,A guaranteed conversation starter
Charity food hamper,This collection of 100 unused charity food hampers; will feed a family of 5 for a month.  Designed to be nutritionally balanced; take the thinking out of meal times; and live the simpler life. Contains foods such as barley; oats; lentils; powdered milk; flour; oil; sardines and other staples.,Lifestyle,Food,59.99,0.5,Guaranteed 2000 calories a day,Gluten free; lactose light,As used by the UN
Celebrity murder weapons,Fan of true crime? own a part of history. These are an assortment of weapons used in real criminal proceedings.,Lifestyle,True Crime,129.99,0.2,Includes newspaper articles from the case,Guaranteed used in criminal case,Not recommended for children
Service Worker experience day,We have all enjoyed the fruits of the service industry; from fast food to fast fashion; experience life on the other side and see the tricks of the trade,Lifestyle,Experiences,125.00,0.3,Choose from fast food worker; package fulfilment depo; or call centre,Keep the minimum wage salary (check with HMRC how this affects you),Uniform provided
The 24-hour divorce,With divorce more and more common; this invaluable guide sets out exactly what is required to leave your lover faster than ever before,Books,Romance,9.99,0.9,Failure to prepare is preparation to fail,Covers all emotional and administrative steps required,Top 5 financial instruments you can use today to hide your assets
Little book list,Have you ever set yourself a goal of reading so many books a year; then messed up by picking a biggie?  This invaluable guide makes sure even the most hectic of us can hit those goals,Books,Guides,9.99,0.1,Ordered by word count,Quick summary of content to enable you to discuss beforehand,People who read this; also read.  See how these books fit into the world of literature with links to classical literature
Commercially coloured suicide nets,Tired of seeing your employees committing suicide at your factories on ugly suicide nets? Not anymore; these branded nets fit well with any industrial design; and can be customised with logos or slogans.,Lifestyle,Safety,259.88,0.2,Display for all to see your commitment to your workers,3 year guarantee* (Does not cover workers lives),Supports weights upto 120kg from 5 stories
Eco-friendly Suicide nets,Have you found keeping your environmental conditions difficult? Not anymore! Made from 100% reused fishing nets; these suicide nets demonstrate your commitment to a better world,Lifestyle,Safety,359.88,0.2,Upcycled from old fishing nets with certificate of authenticity,3 year guarantee* (Does not cover workers lives),Sourced as close to order as possible to reduce transport emissions
Couch from Casting Couch Diary's [1 -11],Own the actual couch from the hit series. 100% Leather. Comes with two free fabric accent scatter cushions and two free leather bolster cushions,Lifestyle,Porn Props,599.99,0.1,This fetching couch as launched the careers of many who went on to be stars; Hermiony Wand; Amber Gris and Lucky Godot,Never been cleaned,A real conversation piece
